date,subs
2022-10-25,8327
2022-10-26,8437
2022-10-27,8544
2022-10-28,8059
2022-10-29,8777
2022-10-30,7475
2022-10-31,6582
2022-11-01,8461
2022-11-02,8642
2022-11-03,8809
2022-11-04,9075
2022-11-05,9423
2022-11-06,10081
2022-11-07,7878
2022-11-08,9708
2022-11-09,8788
2022-11-10,9190
2022-11-11,9138
2022-11-12,9957
2022-11-13,9275
2022-11-14,8248
2022-11-15,9497
2022-11-16,9157
2022-11-17,8590
2022-11-18,8796
2022-11-19,9612
2022-11-20,11059
2022-11-21,9790
2022-11-22,10105
2022-11-23,9248
2022-11-24,9042
2022-11-25,9042
2022-11-26,8998
2022-11-27,8719
2022-11-28,8686
2022-11-29,8492
2022-11-30,9344
2022-12-01,9456
2022-12-02,9286
2022-12-03,9031
2022-12-04,9374
2022-12-05,8856
2022-12-06,9631
2022-12-07,9412
2022-12-08,9481
2022-12-09,9327
2022-12-10,9190
2022-12-11,9042
2022-12-12,8637
2022-12-13,9508
2022-12-14,9141
2022-12-15,9289
2022-12-16,9176
2022-12-17,9182
2022-12-18,9437
2022-12-19,9258
2022-12-20,9215
2022-12-21,9190
2022-12-22,9689
2022-12-23,8897
2022-12-24,8793
2022-12-25,9062
2022-12-26,9785
2022-12-27,9788
2022-12-28,10242
2022-12-29,9223
2022-12-30,8840
2022-12-31,8870
2023-01-01,8735
2023-01-02,9796
2023-01-03,9878
2023-01-04,10960
2023-01-05,10568
2023-01-06,10774
2023-01-07,10333
2023-01-08,10240
2023-01-09,9755
2023-01-10,10341
2023-01-11,10325
2023-01-12,9804
2023-01-13,9974
2023-01-14,11300
2023-01-15,11147
2023-01-16,10278
2023-01-17,10004
2023-01-18,9544
2023-01-19,9911
2023-01-20,9629
2023-01-21,10426
2023-01-22,11722
2023-01-23,10675
2023-01-24,10527
2023-01-25,10673
2023-01-26,11210
2023-01-27,11399
2023-01-28,12029
2023-01-29,11155
2023-01-30,10421
2023-01-31,11615
2023-02-01,10253
2023-02-02,10996
2023-02-03,11632
2023-02-04,15440
2023-02-05,13793
2023-02-06,12136
2023-02-07,12284
2023-02-08,12415
2023-02-09,11092
2023-02-10,11327
2023-02-11,13087
2023-02-12,11866
2023-02-13,11138
2023-02-14,11722
