"","date","subs"
"584",2022-11-27,8719
"585",2022-11-28,8686
"586",2022-11-29,8492
"587",2022-11-30,9344
"588",2022-12-01,9456
"589",2022-12-02,9286
"590",2022-12-03,9031
"591",2022-12-04,9374
"592",2022-12-05,8856
"593",2022-12-06,9631
"594",2022-12-07,9412
"595",2022-12-08,9481
"596",2022-12-09,9327
"597",2022-12-10,9190
"598",2022-12-11,9042
"599",2022-12-12,8637
"600",2022-12-13,9508
"601",2022-12-14,9141
"602",2022-12-15,9289
"603",2022-12-17,9182
"604",2022-12-18,9437
"605",2022-12-22,9689
"606",2022-12-23,8897
"607",2022-12-24,8793
"608",2022-12-25,9062
"609",2022-12-26,9785
"610",2022-12-27,9788
"611",2022-12-28,10242
"612",2022-12-29,9223
"613",2022-12-30,8840
"614",2022-12-31,8870
"615",2023-01-01,8735
"616",2023-01-02,9796
"617",2023-01-03,9878
"618",2023-01-04,10960
"619",2023-01-05,10568
"620",2023-01-06,10774
"621",2023-01-07,10333
"622",2023-01-08,10240
"623",2023-01-09,9755
"624",2023-01-11,10325
"625",2023-01-12,9804
"626",2023-01-13,9974
"627",2023-01-14,11300
"628",2023-01-15,11147
"629",2023-01-16,10278
"630",2023-01-17,10004
"631",2023-01-18,9544
"632",2023-01-19,9911
"633",2023-01-20,9629
"634",2023-01-21,10426
"635",2023-01-22,11722
"636",2023-01-23,10675
"637",2023-01-24,10527
"638",2023-01-25,10673
"639",2023-01-26,11210
"640",2023-01-27,11399
"641",2023-01-28,12029
"642",2023-01-29,11155
"643",2023-01-30,10421
"644",2023-02-01,10253
"645",2023-02-02,10996
"646",2023-02-03,11632
"647",2023-02-04,15440
"648",2023-02-05,13793
"649",2023-02-07,12284
"650",2023-02-08,12415
"651",2023-02-09,11092
"652",2023-02-10,11327
"653",2023-02-11,13087
"654",2023-02-13,11138
"655",2023-02-14,11722
