date,subs,comedy,drama,show,gala,talkshow,gameshow,music
5/13/2022,5650,0,2,2,0,0,0,0
5/14/2022,7574,0,2,2,0,0,0,0
5/15/2022,6234,0,2,2,0,0,0,0
5/16/2022,6957,0,2,2,0,0,0,0
5/17/2022,6248,0,2,2,0,0,0,0
5/18/2022,6012,0,2,2,0,0,0,0
5/19/2022,6445,0,2,2,0,0,0,0
5/20/2022,6453,0,2,2,0,0,0,0
5/21/2022,6291,0,2,2,0,0,0,0
5/22/2022,6626,0,2,2,0,0,0,0
5/23/2022,6028,0,2,2,0,0,0,0
5/24/2022,6168,0,2,2,0,0,0,0
5/25/2022,6722,0,2,2,0,0,0,0
5/26/2022,6080,0,2,2,0,0,0,0
5/27/2022,5669,0,2,2,0,0,0,0
5/28/2022,6343,0,2,2,0,0,0,0
5/29/2022,6708,0,2,2,0,0,0,0
5/30/2022,5373,0,2,2,0,0,0,0
5/31/2022,4984,0,2,2,0,0,0,0
6/1/2022,6132,0,3,3,0,0,0,0
6/2/2022,6922,0,2,2,0,0,0,0
6/3/2022,6363,0,2,2,0,0,0,0
6/4/2022,6513,0,2,2,0,0,0,0
6/5/2022,6278,0,2,2,0,0,0,0
6/6/2022,5982,0,2,2,0,0,0,0
6/7/2022,6080,0,2,2,0,0,0,0
6/8/2022,5727,0,2,2,0,0,0,0
6/9/2022,6206,0,2,2,0,0,0,0
6/10/2022,6261,0,2,2,0,0,0,0
6/11/2022,6316,0,2,2,0,0,0,0
6/12/2022,6050,0,2,2,0,0,0,0
6/13/2022,7250,0,2,2,0,0,0,0
6/14/2022,6154,0,2,2,0,0,0,0
6/15/2022,6839,0,2,2,0,0,0,0
6/16/2022,6743,0,2,2,0,0,0,0
6/17/2022,6557,0,2,2,0,0,0,0
6/18/2022,6226,0,2,2,0,0,0,0
6/19/2022,6494,0,2,2,0,0,0,0
6/20/2022,6368,0,2,2,0,0,0,0
6/21/2022,7091,0,2,2,0,0,0,0
6/22/2022,6371,0,2,2,0,0,0,0
6/23/2022,6974,0,2,2,0,0,0,0
6/24/2022,6839,0,2,2,0,0,0,0
6/25/2022,6313,0,2,2,0,0,0,0
6/26/2022,6015,0,2,2,0,0,0,0
6/27/2022,5732,0,2,2,0,0,0,0
6/28/2022,6735,0,2,2,0,0,0,0
6/29/2022,5869,0,2,2,0,0,0,0
6/30/2022,7409,0,2,2,0,0,0,0
7/1/2022,7105,0,3,2,0,0,0,1
7/2/2022,6788.5,0,3,2,0,0,0,1
7/3/2022,6472,0,3,2,0,0,0,1
7/4/2022,6428,0,3,2,0,0,0,1
7/5/2022,6560,0,3,2,0,0,0,1
7/6/2022,6423,0,3,2,0,0,0,1
7/7/2022,6490,0,3,2,0,0,0,1
7/8/2022,6557,0,3,2,0,0,0,1
7/9/2022,6661,0,3,2,0,0,0,1
7/10/2022,6765,0,3,2,0,0,0,1
7/11/2022,6371,0,3,2,0,0,0,1
7/12/2022,7607,0,3,2,0,0,0,1
7/13/2022,6267,0,3,2,0,0,0,1
7/14/2022,6974,0,3,2,0,0,0,1
7/15/2022,6705,0,3,2,0,0,0,1
7/16/2022,6905,0,3,2,0,0,0,1
7/17/2022,6596,0,3,2,0,0,0,1
7/18/2022,6311,0,3,2,0,0,0,1
7/19/2022,6530,0,3,2,0,0,0,1
7/20/2022,7324,0,3,2,0,0,0,1
7/21/2022,8538,0,3,2,0,0,0,1
7/22/2022,7557,0,3,2,0,0,0,1
7/23/2022,8223,0,3,2,0,0,0,1
7/24/2022,7105,0,3,2,0,0,0,1
7/25/2022,6554,0,3,2,0,0,0,1
7/26/2022,7204,0,3,2,0,0,0,1
7/27/2022,7396,0,3,2,0,0,0,1
7/28/2022,7152,0,3,2,0,0,0,1
7/29/2022,7187,0,3,2,0,0,0,1
7/30/2022,6442,0,3,2,0,0,0,1
7/31/2022,6289,0,3,2,0,0,0,1
8/1/2022,6650,1,4,2,0,1,0,1
8/2/2022,6681.5,1,2,2,0,1,0,1
8/3/2022,6713,1,2,2,0,1,0,1
8/4/2022,7026,1,2,2,0,1,0,1
8/5/2022,7228,1,2,2,0,1,0,1
8/6/2022,9733,1,2,2,0,1,0,1
8/7/2022,8322,1,2,2,0,1,0,1
8/8/2022,6732,1,2,2,0,1,0,1
8/9/2022,6872,1,2,2,0,1,0,1
8/10/2022,6919,1,2,2,0,1,0,1
8/11/2022,8549,1,2,2,0,1,0,1
8/12/2022,6979,1,2,2,0,1,0,1
8/13/2022,8226,1,2,2,0,1,0,1
8/14/2022,7149,1,2,2,0,1,0,1
8/15/2022,6708,1,2,2,0,1,0,1
8/16/2022,6878,1,2,2,0,1,0,1
8/17/2022,6820,1,2,2,0,1,0,1
8/18/2022,6571,1,2,2,0,1,0,1
8/19/2022,7330,1,2,2,0,1,0,1
8/20/2022,7839,1,2,2,0,1,0,1
8/21/2022,7831,1,2,2,0,1,0,1
8/22/2022,7850,1,2,2,0,1,0,1
8/23/2022,7122,1,2,2,0,1,0,1
8/24/2022,6700,1,2,2,0,1,0,1
8/25/2022,7256,1,2,2,0,1,0,1
8/26/2022,7609,1,2,2,0,1,0,1
8/27/2022,7615,1,2,2,0,1,0,1
8/28/2022,7848,1,2,2,0,1,0,1
8/29/2022,6574,1,2,2,0,1,0,1
8/30/2022,6985,1,2,2,0,1,0,1
8/31/2022,7363,1,2,2,0,1,0,1
9/1/2022,8434,1,2,2,0,1,0,1
9/2/2022,7933,1,2,1,0,1,0,1
9/3/2022,8694,1,2,1,0,1,0,1
9/4/2022,8133,1,2,1,0,1,0,1
9/5/2022,7631,1,2,1,0,1,0,1
9/6/2022,7702,1,2,1,0,1,0,1
9/7/2022,7859,1,2,1,0,1,0,1
9/8/2022,6993,1,2,1,0,1,0,1
9/9/2022,6878,1,2,1,0,1,0,1
9/10/2022,8434,1,2,1,0,1,0,1
9/11/2022,7165,1,2,1,0,1,0,1
9/12/2022,7382,1,2,1,0,1,0,1
9/13/2022,7308,1,2,1,0,1,0,1
9/14/2022,7346,1,2,1,0,1,0,1
9/15/2022,7045,1,2,1,0,1,0,1
9/16/2022,7705,1,2,1,0,1,0,1
9/17/2022,8127,1,2,1,0,1,0,1
9/18/2022,7565,1,2,1,0,1,0,1
9/19/2022,6886,1,2,1,0,1,0,1
9/20/2022,7324,1,2,1,0,1,0,1
9/21/2022,7938,1,2,1,0,1,0,1
9/22/2022,7330,1,2,1,0,1,0,1
9/23/2022,7322,1,2,1,0,1,0,1
9/24/2022,7215,1,2,1,0,1,0,1
9/25/2022,7642,1,2,1,0,1,0,1
9/26/2022,6793,1,2,1,0,1,0,1
